title,short_description,sub_category,source_url,author,category,website,scraped_at
Over four million girls still at risk of female genital mutilation: UN leaders call for sustained commitment and investment to end FGM,Date: 5 February 2026,Latest News,https://www.who.int/news/item/05-02-2026-over-four-million-girls-still-at-risk-of-female-genital-mutilation--un-leaders-call-for-sustained-commitment-and-investment-to-end-fgm,WHO,Health,https://www.who.int/,2026-02-06T13:15:20.824069
Preventive cholera vaccination resumes as global supply reaches critical milestone,Date: 4 February 2026,Latest News,https://www.who.int/news/item/04-02-2026-preventive-cholera-vaccination-resumes-as-global-supply-reaches-critical-milestone,WHO,Health,https://www.who.int/,2026-02-06T13:15:20.824186
Four in ten cancer cases could be prevented globally,Date: 3 February 2026,Latest News,https://www.who.int/news/item/03-02-2026-four-in-ten-cancer-cases-could-be-prevented-globally,WHO,Health,https://www.who.int/,2026-02-06T13:15:20.824205
Over four million girls still at risk of female genital mutilation: UN leaders call for sustained commitment and investment to end FGM,Date: 5 February 2026,Latest News,https://www.who.int/news/item/05-02-2026-over-four-million-girls-still-at-risk-of-female-genital-mutilation--un-leaders-call-for-sustained-commitment-and-investment-to-end-fgm,WHO,Health,https://www.who.int/,2026-02-06T13:15:20.824225
Preventive cholera vaccination resumes as global supply reaches critical milestone,Date: 4 February 2026,Latest News,https://www.who.int/news/item/04-02-2026-preventive-cholera-vaccination-resumes-as-global-supply-reaches-critical-milestone,WHO,Health,https://www.who.int/,2026-02-06T13:15:20.824245
Four in ten cancer cases could be prevented globally,Date: 3 February 2026,Latest News,https://www.who.int/news/item/03-02-2026-four-in-ten-cancer-cases-could-be-prevented-globally,WHO,Health,https://www.who.int/,2026-02-06T13:15:20.824259
WHO launches 2026 appeal to help millions of people in health emergencies and crisis settings,Date: 3 February 2026,Latest News,https://www.who.int/news/item/03-02-2026-who-launches-2026-appeal-to-help-millions-of-people-in-health-emergencies-and-crisis-settings,WHO,Health,https://www.who.int/,2026-02-06T13:15:20.824273
International Day of Zero Tolerance for Female Genital Mutilation 2026,Date: 6 February 2026,Latest News,https://www.who.int/news-room/events/detail/2026/02/06/default-calendar/international-day-of-zero-tolerance-for-female-genital-mutilation-2026,WHO,Health,https://www.who.int/,2026-02-06T13:15:20.824288
Fifth meeting of the Intergovernmental Working Group (IGWG) on the WHO Pandemic Agreement,Date: 9 – 14 February 2026,Latest News,https://www.who.int/news-room/events/detail/2026/02/09/default-calendar/fifth-meeting-of-the-intergovernmental-working-group-(igwg)-on-the-who-pandemic-agreement,WHO,Health,https://www.who.int/,2026-02-06T13:15:20.824303
WHO EPI-WIN webinar: ship inspection and issuance of ship sanitation certificates,Date: 11 – 12 February 2026,Latest News,https://www.who.int/news-room/events/detail/2026/02/11/default-calendar/who-epi-win-webinar-ship-inspection-and-issuance-of-ship-sanitation-certificates,WHO,Health,https://www.who.int/,2026-02-06T13:15:20.824325
